=======================================================================
ID     | NOME DO ALUNO                       | CURSO                    
2346   | Washington da Costa                 | Medicina                 
2347   | Elísio Porto                        | Administracao            
2348   | Pietra Laranjeira                   | Agronomia                
2349   | Matheus Marins                      | Enfermagem               
2350   | Norberto Saraiva                    | Administracao            
2351   | Ígor Souza                          | Enfermagem               
2352   | Gabriela Sá                         | Direito                  
2353   | Paula Vasques                       | Enfermagem               
2354   | Dr. Isadora Caldeira                | Engenharia de Software   
2355   | Sra. Bruna da Aldeia                | Psicologia               
2356   | Gael Hermingues                     | Medicina                 
2357   | Mariah Martins                      | Arquitetura              
2358   | Isaac da Fronteira Jr.              | Sistemas de Informacao   
2359   | Marcos Longuinho                    | Agronomia                
2360   | Catarina Viana Filho                | Psicologia               
2361   | Marli Cachoeira                     | Arquitetura              
2362   | Helena Mendes Jr.                   | Ciencia da Computacao    
2363   | Enzo Gabriel Rocha                  | Arquitetura              
2364   | Emanuel Cruz Jr.                    | Psicologia               
2365   | Guilherme Farias                    | Psicologia               
2366   | Clarice Arantes Jr.                 | Medicina                 
2367   | Natália Hernandes                   | Administracao            
2368   | Beatriz Raia                        | Administracao            
2369   | Clarice Cruz                        | Administracao            
2370   | Mércia Carreira Filho               | Enfermagem               
2371   | Patricia Moreira                    | Sistemas de Informacao   
2372   | Luan Bittencourt Jr.                | Ciencia da Computacao    
2373   | Giovanna Moreira                    | Ciencia da Computacao    
2374   | Ricardo Moreira                     | Psicologia               
2375   | Sr. Ana Vitória Caldas              | Arquitetura              
2376   | Luiz Miguel Melo                    | Arquitetura              
2377   | Sra. Núbia Lopes                    | Direito                  
2378   | João Samuel Araújo                  | Psicologia               
2379   | Dr. Liz Teixeira                    | Arquitetura              
2380   | Ana Luiza Rêgo                      | Psicologia               
2381   | Anthony Mangueira                   | Engenharia de Software   
2382   | Antonia Jesus                       | Medicina                 
2383   | Maria Júlia Velasques               | Sistemas de Informacao   
2384   | João Victor Sá                      | Sistemas de Informacao   
2385   | Deneval Coqueiro                    | Agronomia                
2386   | Hélio Peres                         | Sistemas de Informacao   
2387   | Gustavo da Costa                    | Psicologia               
2388   | Lorenzo Ordonhes                    | Engenharia de Software   
2389   | Ígor Menendes Neto                  | Engenharia de Software   
2390   | Núbia Oliveira                      | Enfermagem               
2391   | Isabella Franco                     | Agronomia                
2392   | Bruno Ribeiro Filho                 | Sistemas de Informacao   
2393   | Ana Luiza Laranjeira                | Direito                  
2394   | Giovanna Bulhões Neto               | Administracao            
2395   | Sr. Luiz Henrique Leiria            | Arquitetura              
2396   | Isadora Jesus                       | Medicina                 
2397   | Theo Pedroso Filho                  | Medicina                 
2398   | Sarah Santos                        | Arquitetura              
2399   | Marcelo Figueira Filho              | Sistemas de Informacao   
2400   | Nathan Esteves                      | Enfermagem               
2401   | Hélio Espinheira                    | Engenharia de Software   
2402   | Sra. Maria Helena Jesus             | Direito                  
2403   | Raul Pinto Neto                     | Direito                  
2404   | Lorraine Sales                      | Medicina                 
2405   | Pablo Castro                        | Arquitetura              
2406   | Luiz Gustavo da Cruz Filho          | Arquitetura              
2407   | Maria Eduarda de Oliveira           | Enfermagem               
2408   | Roberta Ambrósio                    | Administracao            
2409   | Pedro Lucas da Mata                 | Engenharia de Software   
2410   | Emanuel da Bandeira                 | Arquitetura              
2411   | Benício Roseira Jr.                 | Engenharia de Software   
2412   | Washington Bentes Filho             | Psicologia               
2413   | Sr. Larissa Silveira                | Engenharia de Software   
2414   | Emilly Campos                       | Enfermagem               
2415   | Sr. Calebe Roriz                    | Direito                  
2416   | César Casqueira                     | Agronomia                
2417   | Sra. Felícia Rocha                  | Psicologia               
2418   | Maitê Cabreira                      | Direito                  
2419   | Enrico Henriques                    | Direito                  
2420   | Pedro Lucas Farias                  | Ciencia da Computacao    
2421   | Sr. Erick Diegues                   | Sistemas de Informacao   
2422   | César Taveira                       | Administracao            
2423   | Joaquim Castro                      | Engenharia de Software   
2424   | Vitor Bomdia                        | Sistemas de Informacao   
2425   | Sra. Pedro Lucas Simões             | Ciencia da Computacao    
2426   | Maria Laura Silva                   | Administracao            
2427   | Sra. Laís da Costa                  | Medicina                 
2428   | Stella Castelo                      | Engenharia de Software   
2429   | Maria Laura Raia Neto               | Administracao            
2430   | Meire de Lins Neto                  | Agronomia                
2431   | Larissa Franco                      | Agronomia                
2432   | Sra. Allana Ouriques                | Ciencia da Computacao    
2433   | Malu Banheira                       | Medicina                 
2434   | Sophia Albuquerque                  | Ciencia da Computacao    
2435   | Maya Chaves                         | Direito                  
2436   | Maria Fernanda da Costa Jr.         | Engenharia de Software   
2437   | Dra. João Gabriel Simões            | Agronomia                
2438   | Camila Crespo                       | Engenharia de Software   
2439   | Dr. Sarah Caldeira                  | Enfermagem               
2440   | Sr. Ana Luiza Junqueira             | Engenharia de Software   
2441   | Rafaela da Veiga                    | Agronomia                
2442   | Dr. Isadora Brites                  | Engenharia de Software   
2443   | Sra. Alexandre Carreira             | Ciencia da Computacao    
2444   | Fernanda Macedo                     | Sistemas de Informacao   
2445   | Mércia Veloso Jr.                   | Administracao            
2446   | Margarida Pinto                     | Administracao            
2447   | Alícia Reis Jr.                     | Agronomia                
2448   | Luiza Aparício                      | Medicina                 
2449   | Calebe Rameira                      | Arquitetura              
2450   | Dra. Bryan Castanheira              | Agronomia                
2451   | Lucas Gabriel Rolim Jr.             | Engenharia de Software   
2452   | Leonardo Custódio                   | Enfermagem               
2453   | Srta. Gael Rocha                    | Enfermagem               
2454   | Carlos da Bandeira                  | Engenharia de Software   
2455   | Luan Macieira                       | Engenharia de Software   
2456   | Fabrício da Silveira                | Sistemas de Informacao   
2457   | Fernanda Corrêa                     | Psicologia               
2458   | Dr. Maria Sophia Veloso             | Psicologia               
2459   | Srta. Kaique Silveira               | Ciencia da Computacao    
2460   | Beatriz Monteiro                    | Arquitetura              
2461   | Luna Moniz                          | Enfermagem               
2462   | Nathan Parreira                     | Enfermagem               
2463   | Joana Garcês Neto                   | Psicologia               
2464   | Daniel Xavier                       | Engenharia de Software   
2465   | Aurora da Mota                      | Engenharia de Software   
2466   | Dra. Manuela Aparício               | Administracao            
2467   | Lorena Castelo                      | Sistemas de Informacao   
2468   | Margarida Ximenes Neto              | Administracao            
2469   | Agatha Albuquerque Filho            | Engenharia de Software   
2470   | Thomas da Penha                     | Arquitetura              
2471   | Samuel Quaresma Jr.                 | Psicologia               
2472   | Antonia da Fronteira Jr.            | Direito                  
2473   | Thiago Lima                         | Administracao            
2474   | Francisca de Quadros Jr.            | Administracao            
2475   | Alessandra Simões                   | Medicina                 
2476   | Tertuliano Vimaranes                | Enfermagem               
2477   | Célia Garcês                        | Sistemas de Informacao   
2478   | Adriana Godinho                     | Psicologia               
2479   | João Vitor Peres Neto               | Sistemas de Informacao   
2480   | Ruan Alves                          | Medicina                 
2481   | Sophie Galego                       | Medicina                 
2482   | Natália Castro                      | Psicologia               
2483   | Maria Alice Cerqueira               | Sistemas de Informacao   
2484   | Dr. Manuela Lima                    | Direito                  
2485   | Luiz Gustavo Nascimento             | Arquitetura              
2486   | Carolina Marins                     | Psicologia               
2487   | Maria Júlia Pires                   | Direito                  
2488   | Rafaela Passarinho                  | Enfermagem               
2489   | Daniel da Luz Filho                 | Engenharia de Software   
2490   | Arthur Miguel Arantes               | Arquitetura              
2491   | Roberta Ribas                       | Enfermagem               
2492   | Bernardo Palmeira                   | Direito                  
2493   | Agatha Cerqueira                    | Medicina                 
2494   | Maria Clara Pinheira                | Engenharia de Software   
2495   | Otávio Cruz Neto                    | Ciencia da Computacao    
2496   | Pedro Lucas Morais                  | Administracao            
2497   | Marina Aguiar                       | Ciencia da Computacao    
2498   | Ruan Porto                          | Psicologia               
2499   | Fernanda Matoso Filho               | Administracao            
2500   | Louise da Fonseca                   | Arquitetura              
2501   | Srta. Antonella Gentil              | Enfermagem               
2502   | Maitê Peixoto                       | Enfermagem               
2503   | Sr. Alice do Prado                  | Agronomia                
2504   | Sr. Arthur Miguel Marcondes         | Direito                  
2505   | Bianca Diegues                      | Ciencia da Computacao    
2506   | Otávio Marins                       | Administracao            
2507   | Joana Garcês                        | Medicina                 
2508   | Salvador Macieira                   | Agronomia                
2509   | Sr. Sílvia da Nóbrega               | Sistemas de Informacao   
2510   | Luna Leiria                         | Direito                  
2511   | Rafael Barroso                      | Medicina                 
2512   | Hélio da Rocha Jr.                  | Direito                  
2513   | Sr. Pablo Bomdia                    | Engenharia de Software   
2514   | Frederico Martim                    | Direito                  
2515   | Murilo Gomide Filho                 | Enfermagem               
2516   | Janaína Cruz Neto                   | Sistemas de Informacao   
2517   | Henrique Mangueira                  | Engenharia de Software   
2518   | Ofélia Cavalcanti Neto              | Enfermagem               
2519   | Sra. Ana Beatriz da Rosa            | Agronomia                
2520   | João Ferreira                       | Sistemas de Informacao   
2521   | Marcia Hernandes                    | Direito                  
2522   | Luiza Ximenes                       | Ciencia da Computacao    
2523   | Norberto Marins                     | Psicologia               
2524   | Sarah da Rocha                      | Psicologia               
2525   | Dra. Leonardo Barreira              | Sistemas de Informacao   
2526   | Sra. Cauã Beltrão                   | Agronomia                
2527   | Manuela Godins                      | Agronomia                
2528   | Cecília Solimões                    | Agronomia                
2529   | Dra. Feliciano Antena               | Psicologia               
2530   | Davi Lucca Barbosa                  | Administracao            
2531   | Davi Cachoeira                      | Medicina                 
2532   | Sra. Murilo Diegues                 | Administracao            
2533   | Emanuel Rêgo                        | Sistemas de Informacao   
2534   | Mariana Barreira Filho              | Sistemas de Informacao   
2535   | Sra. Sophie Oliveira                | Administracao            
2536   | Srta. Enrico Sais                   | Medicina                 
2537   | Rafaela de Borba                    | Administracao            
2538   | Heitor Louzada                      | Administracao            
2539   | Sophie Coqueiro                     | Agronomia                
2540   | Nathan Camacho                      | Engenharia de Software   
2541   | Davi Braga                          | Enfermagem               
2542   | Yango Modesto                       | Medicina                 
2543   | Noah Garcês                         | Ciencia da Computacao    
2544   | Alice da Mata                       | Ciencia da Computacao    
2545   | Daniel Moura Neto                   | Agronomia                
2546   | Davi Lucca Braga                    | Administracao            
2547   | Amanda Ambrósio                     | Ciencia da Computacao    
2548   | Júlio Lima                          | Psicologia               
2549   | Luiz Gustavo Esteves Jr.            | Direito                  
2550   | Raul da Maia Jr.                    | Administracao            
2551   | Luiz Henrique Porto Filho           | Sistemas de Informacao   
2552   | João Lucas Oliveira                 | Medicina                 
2553   | Lucca Duarte Jr.                    | Direito                  
2554   | João Felipe da Penha                | Administracao            
2555   | Tomás Passarinho                    | Agronomia                
2556   | Maitê Veloso                        | Administracao            
2557   | Vitor Hugo Cardoso                  | Direito                  
2558   | Dra. Pedro Miguel Mendes            | Enfermagem               
2559   | Dr. Clara Vidal                     | Medicina                 
2560   | Dra. Maria Sophia Roriz             | Psicologia               
2561   | Valentina Chaves                    | Administracao            
2562   | Tiago Martim                        | Direito                  
2563   | Sr. Fernando Arriaga                | Sistemas de Informacao   
2564   | João Vitor Esteves                  | Psicologia               
2565   | Thomas Peixoto                      | Direito                  
2566   | Bianca Garcês                       | Agronomia                
2567   | Augusto Junqueira                   | Ciencia da Computacao    
2568   | Isabel Ordonhes                     | Medicina                 
2569   | Sra. Otávio Grotas                  | Agronomia                
2570   | Malu Antunes                        | Direito                  
2571   | Hugo Lessa Filho                    | Ciencia da Computacao    
2572   | Fernanda Parreira                   | Agronomia                
2573   | João Victor Sales                   | Engenharia de Software   
2574   | Alexandre Teles Jr.                 | Arquitetura              
2575   | Bárbara Beltrão Neto                | Direito                  
2576   | João Samuel Gonçalves               | Engenharia de Software   
2577   | Sophia Meireles                     | Direito                  
2578   | Srta. Arthur Gabriel Pires          | Ciencia da Computacao    
2579   | Maria Luiza Marins                  | Sistemas de Informacao   
2580   | Laura Farias                        | Ciencia da Computacao    
2581   | Luiz da Rosa                        | Ciencia da Computacao    
2582   | Dra. Bruno Regueira                 | Enfermagem               
2583   | Sr. Pietra Martim                   | Medicina                 
2584   | Camila Nogueira Filho               | Medicina                 
2585   | Dra. Ana Clara Barbosa              | Direito                  
2586   | Srta. Felipe Bouças                 | Psicologia               
2587   | João Lucas Pinheira                 | Administracao            
2588   | Margarida da Silva                  | Medicina                 
2589   | Carlos Eduardo Cabreira Neto        | Direito                  
2590   | Sra. Natália Paiva                  | Engenharia de Software   
2591   | Davi Antunes                        | Medicina                 
2592   | Liz Galvão Jr.                      | Enfermagem               
2593   | Arthur Miguel Silva                 | Ciencia da Computacao    
2594   | Gúbio Marcondes                     | Agronomia                
2595   | Oliver Ribas Jr.                    | Psicologia               
2596   | Isadora Moura                       | Engenharia de Software   
2597   | Giovanna Henriques                  | Sistemas de Informacao   
2598   | Allana Pereira                      | Arquitetura              
2599   | Levi Rocha                          | Sistemas de Informacao   
2600   | Kléber Cruz Filho                   | Sistemas de Informacao   
2601   | Meire Porteira Filho                | Engenharia de Software   
2602   | Luiz Felipe Guterres                | Medicina                 
2603   | Levi Resende                        | Enfermagem               
2604   | Fabiano Soares                      | Enfermagem               
2605   | Rafael Bonfim                       | Ciencia da Computacao    
2606   | Gustavo Simão Neto                  | Arquitetura              
2607   | Pietro Cruz                         | Administracao            
2608   | Gustavo Longuinho                   | Psicologia               
2609   | Ofélia Araújo Filho                 | Psicologia               
2610   | Luna Lessa Neto                     | Arquitetura              
2611   | Raul Castanheira                    | Enfermagem               
2612   | Raul Guedes                         | Sistemas de Informacao   
2613   | Srta. Isaac Peixoto                 | Administracao            
2614   | Davi Miguel de Oliveira             | Enfermagem               
2615   | Júlia Antena                        | Enfermagem               
2616   | Thiago Conceição                    | Ciencia da Computacao    
2617   | Sr. Meire Neves                     | Ciencia da Computacao    
2618   | Mércia Guedes                       | Administracao            
2619   | Fábio Fernandes                     | Arquitetura              
2620   | Maria Laura Castelo                 | Psicologia               
2621   | Nicolas Castanho                    | Arquitetura              
2622   | Sr. Maria Valentina Ximenes         | Ciencia da Computacao    
2623   | Sra. Enzo Thiago Corte              | Engenharia de Software   
2624   | Davi Miguel Marques                 | Sistemas de Informacao   
2625   | Lara Corrêa Filho                   | Engenharia de Software   
2626   | Laís Corte Filho                    | Psicologia               
2627   | Arthur Gabriel Antena               | Sistemas de Informacao   
2628   | Henrique Videira                    | Arquitetura              
2629   | Lorena Godins                       | Medicina                 
2630   | Vitória Pires                       | Sistemas de Informacao   
2631   | João Lucas Camacho                  | Administracao            
2632   | Luana da Barranca                   | Sistemas de Informacao   
2633   | Bruno Braga Neto                    | Psicologia               
2634   | Enzo Miguel Junqueira               | Medicina                 
2635   | Francisco da Cunha Filho            | Ciencia da Computacao    
2636   | Dra. Juliana Crespo                 | Administracao            
2637   | Luiz Otávio Monteira                | Direito                  
2638   | João Pedro Simão                    | Medicina                 
2639   | Víctor Madeira                      | Ciencia da Computacao    
2640   | Vitória Palhares                    | Enfermagem               
2641   | Luiza Fogaça                        | Engenharia de Software   
2642   | Paula Leiria                        | Engenharia de Software   
2643   | Sra. Isis Crespo                    | Engenharia de Software   
2644   | Júlio Passarinho                    | Engenharia de Software   
2645   | Agatha Cachoeira                    | Administracao            
2646   | Dra. Gabriela Bernardes             | Sistemas de Informacao   
2647   | Gabriel Vidal                       | Enfermagem               
2648   | Lorena Lopes                        | Enfermagem               
2649   | Pietra Bulhões Filho                | Direito                  
2650   | Eloah Nunes                         | Direito                  
2651   | Ana Beatriz Henriques Jr.           | Psicologia               
2652   | Rebeca Rezende                      | Agronomia                
2653   | Yango da Fonseca Neto               | Arquitetura              
2654   | Yuri Moreno                         | Administracao            
2655   | Sra. Luiza Guedes                   | Enfermagem               
2656   | Ofélia Carneiro                     | Medicina                 
2657   | Dr. Isabela Martins                 | Administracao            
2658   | Sr. Félix dos Reis                  | Direito                  
2659   | João Felipe Barreto Neto            | Engenharia de Software   
2660   | Leonardo Coutinho                   | Enfermagem               
2661   | Kauê Datena                         | Administracao            
2662   | Benjamin Caldeira                   | Administracao            
2663   | Maria Fernanda Resende              | Medicina                 
2664   | Isis Souza                          | Psicologia               
2665   | João Samuel Coqueiro Filho          | Psicologia               
2666   | Adriana Meireles Filho              | Agronomia                
2667   | Dr. Samuel Laranjeira               | Administracao            
2668   | Srta. João Miguel Farias            | Medicina                 
2669   | Bruno da Rosa                       | Psicologia               
2670   | Luiz Felipe Melo Neto               | Enfermagem               
2671   | João Miguel Dantas Jr.              | Agronomia                
2672   | Srta. Elísio da Bandeira            | Sistemas de Informacao   
2673   | Alessandro Sales                    | Enfermagem               
2674   | Rafaela Siqueira                    | Medicina                 
2675   | Pérola Menendes                     | Administracao            
2676   | Maria Júlia Arriaga                 | Psicologia               
2677   | Pedro Paes                          | Enfermagem               
2678   | Sr. Gustavo Bomdia                  | Psicologia               
2679   | Manuela Sais Neto                   | Medicina                 
2680   | Miguel Guterres                     | Sistemas de Informacao   
2681   | Bárbara Rocha                       | Arquitetura              
2682   | Luiz Otávio Esteves                 | Sistemas de Informacao   
2683   | Amanda da Mata                      | Engenharia de Software   
2684   | Rafaela Roseira                     | Enfermagem               
2685   | Sra. Kauê de Lara                   | Enfermagem               
2686   | Yago Cerqueira                      | Administracao            
2687   | Allana Lima                         | Psicologia               
2688   | Luiz Otávio da Barra                | Agronomia                
2689   | Srta. Frederico Regueira            | Arquitetura              
2690   | Fábio Henriques                     | Agronomia                
2691   | Mariah Antunes                      | Enfermagem               
2692   | Ladislau da Cunha                   | Arquitetura              
2693   | Theo Almeida                        | Enfermagem               
2694   | Sra. Luiz Miguel Reis               | Engenharia de Software   
2695   | Luiz Felipe Beltrão                 | Administracao            
2696   | Lorraine Raia                       | Medicina                 
2697   | Maria Júlia Brites Neto             | Engenharia de Software   
2698   | Marina Sanches                      | Enfermagem               
2699   | João Lucas Custódio Neto            | Psicologia               
2700   | Joana Antena                        | Direito                  
2701   | Daniel da Fontoura                  | Direito                  
2702   | Alícia das Neves                    | Ciencia da Computacao    
2703   | Anthony Simões                      | Engenharia de Software   
2704   | Ana Beatriz Pires                   | Ciencia da Computacao    
2705   | Sr. Vitória Videira                 | Arquitetura              
2706   | Maria Isis Resende                  | Medicina                 
2707   | Felipe Roseira                      | Arquitetura              
2708   | Lucas Gabriel de Lins               | Engenharia de Software   
2709   | Mariah Hernandes                    | Arquitetura              
2710   | Isis Albuquerque Jr.                | Administracao            
2711   | Valentina Barreira                  | Ciencia da Computacao    
2712   | Aline Ribeira                       | Direito                  
2713   | Rebeca da Veiga Filho               | Direito                  
2714   | Davi Luiz Roriz                     | Medicina                 
2715   | Emanuel da Gama                     | Psicologia               
2716   | Maria Fernanda de Oliveira          | Engenharia de Software   
2717   | Heloísa Espinheira                  | Psicologia               
2718   | Sra. Pedro da Terra                 | Medicina                 
2719   | Murilo da Fontoura                  | Ciencia da Computacao    
2720   | Norberto Esteves                    | Enfermagem               
2721   | Sr. Sílvia Coutinho                 | Arquitetura              
2722   | Arthur Henrique Ornelas             | Medicina                 
2723   | Luana Resende                       | Medicina                 
2724   | Ruan Cruz                           | Arquitetura              
2725   | Maya Rêgo                           | Psicologia               
2726   | Eduarda Vieira                      | Sistemas de Informacao   
2727   | Sra. Francisco Ramos                | Direito                  
2728   | Srta. Ana Sophia Vieira             | Psicologia               
2729   | Elisa Aguiar                        | Administracao            
2730   | Luan Dorneles                       | Medicina                 
2731   | Sr. Fábio Louzada                   | Enfermagem               
2732   | Ian Domingues                       | Ciencia da Computacao    
2733   | Beatriz Garcez                      | Psicologia               
2734   | Djalma Laranjeira                   | Enfermagem               
2735   | Mariah Garcez                       | Medicina                 
2736   | Rafaela Vidal                       | Psicologia               
2737   | Gustavo Viveiros                    | Direito                  
2738   | Ana Laura Espinhosa                 | Direito                  
2739   | Hugo Rocha                          | Agronomia                
2740   | Sr. Maria Vitória Caldas            | Psicologia               
2741   | Mirella Rocha                       | Engenharia de Software   
2742   | João Victor Martins                 | Arquitetura              
2743   | Srta. Talita Lobos                  | Sistemas de Informacao   
2744   | Heitor Camacho                      | Sistemas de Informacao   
2745   | Bruna dos Reis                      | Engenharia de Software   
2746   | Marcela Ornelas Jr.                 | Ciencia da Computacao    
2747   | Víctor Moreno                       | Administracao            
2748   | Luiz Henrique Ximenes               | Ciencia da Computacao    
2749   | Raul Ambrósio                       | Ciencia da Computacao    
2750   | Ana Vitória Rezende                 | Sistemas de Informacao   
2751   | Arthur Macieira                     | Psicologia               
2752   | Srta. Gabriel Coutinho              | Medicina                 
2753   | Elisa Corrêa                        | Arquitetura              
2754   | Enrico Veles Filho                  | Ciencia da Computacao    
2755   | Maria Sophia Nunes Neto             | Direito                  
2756   | Melissa Resende                     | Engenharia de Software   
2757   | Elísio Ordonhes                     | Ciencia da Computacao    
2758   | Ana Lívia Soares                    | Enfermagem               
2759   | Raul Nogueira Neto                  | Agronomia                
2760   | Nataniel dos Reis                   | Administracao            
2761   | Deneval Brum Neto                   | Enfermagem               
2762   | Sarah da Penha                      | Direito                  
2763   | Maria Isis Leiria                   | Arquitetura              
2764   | Dra. Davi Luiz Xavier               | Engenharia de Software   
2765   | Enrico Ribas                        | Medicina                 
2766   | Maria Helena Gabeira Jr.            | Engenharia de Software   
2767   | Joana de Lins                       | Ciencia da Computacao    
2768   | Roberto da Silveira                 | Sistemas de Informacao   
2769   | Ofélia Carvalheira                  | Medicina                 
2770   | Sarah da Nóbrega                    | Psicologia               
2771   | Roberta Corrêa                      | Agronomia                
2772   | Emanuelly Datena                    | Psicologia               
2773   | Marina Galvão                       | Direito                  
2774   | Beatriz de Oliveira                 | Enfermagem               
2775   | Vitor Hugo Geraldes                 | Psicologia               
2776   | Aurora Gonçalves Jr.                | Arquitetura              
2777   | Lara Corte                          | Direito                  
2778   | Suélen Barroso                      | Arquitetura              
2779   | Roberta Palmeira                    | Arquitetura              
2780   | Ofélia Madeira Filho                | Enfermagem               
2781   | Marcelo Simões                      | Medicina                 
2782   | Eloah Junqueira                     | Arquitetura              
2783   | Margarida da Penha                  | Ciencia da Computacao    
2784   | Dra. Luana Teles                    | Ciencia da Computacao    
2785   | Emanuelly Castelo                   | Ciencia da Computacao    
2786   | Rodrigo Carvalho                    | Engenharia de Software   
2787   | Ana Vitória Fontinhas               | Administracao            
2788   | Maria Júlia Bentes                  | Agronomia                
2789   | Norberto Veloso                     | Administracao            
2790   | Luiz Henrique Hermingues            | Ciencia da Computacao    
2791   | César Brum Filho                    | Medicina                 
2792   | Dra. Giovanna Passarinho            | Medicina                 
2793   | Luiz Rios Neto                      | Sistemas de Informacao   
2794   | Isabelly Moreira Neto               | Administracao            
2795   | Pedro Tobias da Bandeira Neto       | Administracao            
2796   | Arthur Miguel Louzada               | Enfermagem               
2797   | Aline Fontinhas                     | Engenharia de Software   
2798   | Sr. Luana Gonçalves                 | Sistemas de Informacao   
2799   | Emilly Gabeira                      | Sistemas de Informacao   
2800   | Yasmin da Rosa Neto                 | Enfermagem               
2801   | Maria Eduarda Grotas                | Direito                  
2802   | Sra. Ana Beatriz da Fronteira       | Arquitetura              
2803   | Davi Lucas Caldeira Jr.             | Medicina                 
2804   | Mércia Barreira Neto                | Ciencia da Computacao    
2805   | Eloah Aparício                      | Direito                  
2806   | Pedro Miguel Rêgo                   | Enfermagem               
2807   | Sra. Bárbara Hernandes              | Psicologia               
2808   | Bárbara Viveiros                    | Arquitetura              
2809   | Sarah Jesus                         | Administracao            
2810   | Alexandre Cardoso                   | Ciencia da Computacao    
2811   | Sr. Stella Aparício                 | Engenharia de Software   
2812   | Vitória Bulhões Filho               | Administracao            
2813   | Paulo Bittencourt                   | Enfermagem               
2814   | Emilly Quarteira                    | Arquitetura              
2815   | João Felipe Amoreira                | Agronomia                
2816   | Félix Meira Neto                    | Enfermagem               
2817   | Olívia da Mata                      | Arquitetura              
2818   | Francisco da Costa                  | Direito                  
2819   | João Miguel Araújo                  | Sistemas de Informacao   
2820   | Valentina da Silveira Jr.           | Ciencia da Computacao    
2821   | Silas Alves                         | Arquitetura              
2822   | Esther Arantes                      | Direito                  
2823   | Sr. Maria Sophia Madeira            | Enfermagem               
2824   | Maria Cecília Lobos Jr.             | Enfermagem               
2825   | Enrico Ordonhes                     | Medicina                 
2826   | Stella Gabeira                      | Engenharia de Software   
2827   | Ayla Madeira                        | Agronomia                
2828   | Isis Moreira                        | Enfermagem               
2829   | Enzo Miguel Barata                  | Engenharia de Software   
2830   | Norberto Palmeira Jr.               | Psicologia               
2831   | Vinícius Saraiva                    | Engenharia de Software   
2832   | Rafaela Limeira                     | Medicina                 
2833   | Paulo Antena                        | Enfermagem               
2834   | Dr. Isadora Braga                   | Enfermagem               
2835   | Pedro Lucas Pereira                 | Agronomia                
2836   | Maria Laura Cruz Filho              | Administracao            
2837   | Sra. Helena Lima                    | Psicologia               
2838   | Raul da Gama                        | Arquitetura              
2839   | Maitê Aroeira                       | Psicologia               
2840   | Patricia Viana                      | Medicina                 
2841   | João Caldas                         | Sistemas de Informacao   
2842   | Dr. Milena Mendanha                 | Enfermagem               
2843   | Sr. Agatha Crespo                   | Arquitetura              
2844   | Joaquim Mendanha                    | Engenharia de Software   
2845   | João Gabriel da Fronteira           | Arquitetura              
2846   | Davi Silveira                       | Direito                  
2847   | Srta. Clarice Teles                 | Agronomia                
2848   | Maria Alice Ramos                   | Agronomia                
2849   | Ladislau Albuquerque                | Direito                  
2850   | Dra. Alícia Nunes                   | Enfermagem               
2851   | Nicolas Peixoto                     | Sistemas de Informacao   
2852   | Júlia da Cunha                      | Psicologia               
2853   | Luiz Felipe da Madureira            | Engenharia de Software   
2854   | Maria Sophia Rios                   | Medicina                 
2855   | Sr. Emilly da Cunha                 | Engenharia de Software   
2856   | Otávio Palmeira                     | Sistemas de Informacao   
2857   | Heloísa Monteiro Filho              | Ciencia da Computacao    
2858   | Sr. Tertuliano Garcez               | Ciencia da Computacao    
2859   | Kauê Sá                             | Psicologia               
2860   | Dr. Kléber Parreira                 | Engenharia de Software   
2861   | Washington Quarteira                | Engenharia de Software   
2862   | Sr. Davi Ludmer Jesus               | Arquitetura              
2863   | Dr. Vitor Hugo Rodrigues            | Direito                  
2864   | Morgana Viveiros                    | Administracao            
2865   | Bento Porto                         | Administracao            
2866   | Lorraine da Mata                    | Administracao            
2867   | Joana Melo Filho                    | Direito                  
2868   | Washington Amoreira                 | Psicologia               
2869   | Fabiano Modesto                     | Medicina                 
2870   | Luiz Felipe Carneiro                | Arquitetura              
2871   | Ana Sophia Carneiro Neto            | Agronomia                
2872   | Carolina Bomdia                     | Arquitetura              
2873   | Isadora Matoso Filho                | Sistemas de Informacao   
2874   | Samuel Crespo                       | Medicina                 
2875   | Maria Helena Coutinho               | Enfermagem               
2876   | Srta. Samuel Roriz                  | Enfermagem               
2877   | Ana Lívia Negrão                    | Psicologia               
2878   | Sr. Suélen Moraes                   | Enfermagem               
2879   | Luana de Sá                         | Psicologia               
2880   | Beatriz Rezende                     | Agronomia                
2881   | Augusto Bentes                      | Arquitetura              
2882   | Silas Velasques                     | Enfermagem               
2883   | Davi Aguiar Neto                    | Ciencia da Computacao    
2884   | Félix Neves                         | Medicina                 
2885   | Francisco Fogaça                    | Sistemas de Informacao   
2886   | Samuel da Maia                      | Medicina                 
2887   | Guilherme Veloso                    | Medicina                 
2888   | Ofélia Sales                        | Administracao            
2889   | João Samuel Ornelas                 | Sistemas de Informacao   
2890   | Dr. Clarice Veles                   | Arquitetura              
2891   | Lorena Bulhões                      | Medicina                 
2892   | Leonardo Datena                     | Direito                  
2893   | Lorena de Lara                      | Engenharia de Software   
2894   | Emanuel da Conceição Jr.            | Ciencia da Computacao    
2895   | Joana Fontes                        | Arquitetura              
2896   | Manuela Ramires                     | Ciencia da Computacao    
2897   | Rebeca Bouças                       | Agronomia                
2898   | João Miguel Gonçalves Jr.           | Engenharia de Software   
2899   | Alícia Arriaga                      | Administracao            
